TTDDRUID	Drug_id
D00FIX	
D00HPD	
D01THX	
D01TVQ	
D01ZYG	
D02DES	
D02FXK	
D02GEC	
D02KUO	
D02LVZ	
D02UYB	
D03LUN	
D03MTN	
D03QCW	
D03SGR	
D03TIS	
D04CKG	
D04WBY	
D04WFL	
D05GVQ	
D05ILN	
D05IQX	
D05LTY	
D05PUD	
D05TUZ	
D05UHF	
D06CZJ	
D06EWO	
D06SBB	
D06URS	
D06ZIT	
D07BQE	
D07BVI	
D07DUU	
D07PBZ	
D08HPZ	
D08LEY	
D08LJP	
D08NWC	
D08PLK	
D08WSY	
D09DBY	
D09EXD	
D09FSG	
D09LEN	
D09WDK	
D09XTN	
D09ZSO	
D0A1AS	
D0A2UV	
D0AM4P	
D0C8RW	
D0C8VF	
D0C9DA	
D0C9ET	
D0CI4E	
D0CQ2O	
D0D1RM	
D0D4HM	
D0D6VE	
D0DJ9D	
D0E7AD	
D0E8UO	
D0EW4L	
D0F3JT	
D0F3LS	
D0FT3R	
D0FX8A	
D0G5ET	
D0G6HA	
D0GA0A	
D0H1WY	
D0H4TQ	
D0H5XB	
D0HU9H	
D0I3JZ	
D0I4ZQ	
D0J3RY	
D0JE4D	
D0K3XP	
D0K4DI	
D0K5KS	
D0KG4Q	
D0KX1Y	
D0L1QF	
D0L3MP	
D0M8PD	
D0N2BX	
D0N4HB	
D0N5OV	
D0NW7Y	
D0O5ER	
D0O7GU	
D0OM3A	
D0OY4K	
D0P3TX	
D0P5AP	
D0PG0G	
D0PG5G	
D0Q0JG	
D0Q0OD	
D0Q5KL	
D0QW9H	
D0R2RR	
D0R7NI	
D0R7US	
D0S2NI	
D0S8WA	
D0T1IJ	
D0T1UJ	
D0T2RZ	
D0T5QT	
D0TD2G	
D0U5SC	
D0U8JN	
D0U8US	
D0UI7K	
D0V4JQ	
D0V4JR	
D0V5AJ	
D0W2LR	
D0W6SS	
D0XT5Y	
D0Y4KE	
D0Y7OJ	
D0Y7XG	
D0Y8OK	
D0Y8ZN	
D0YV4F	
D0Z1KC	
D0Z2CM	
D0Z5IP	
D01RNV	
D03PUA	
D04BNB	
D04FOP	
D04WBT	
D06PBH	
D0BF0X	
D0I9VO	
D0KV1Q	
D0M1WU	
D0N0QC	
D0O3OK	
D0OX9W	
D0P4TH	
D0R2NE	
D0R8WT	
D0T1VK	
D0U1LQ	
D0WL8I	
D03ZYQ	
D04DTH	
D0F3KC	
D03RIX	
D03UEO	
D04GWO	
D04JFG	
D04LTQ	
D06XBN	
D07OAD	
D0A7NB	
D0HN8P	
D0NN5H	
D0X8HP	
D00GAM	
D04WIE	
D0S8BG	
D05LTJ	
D06CIJ	
D0E9HQ	
D0J2VB	
D0N0DU	
D0Q1GL	
D0Q4LG	
D0VO7R	
D01OKS	
D0S2GT	
D0WR3D	
D00PFW	
D04DDM	
D06NEU	
D07HAD	
D0N4ND	
D0Q2BM	
D09GAG	
D0E8VF	
D0F5NB	
D02CJA	
D06SDP	
D0B2JZ	
D0K5WM	
D0K6XI	
D03CUS	
D0A9QL	
D0D4XF	
D0DJ8D	
D0Q0MH	
D0V0TT	
D0YG7H	
D01HHL	
D02SLV	
D03ILU	
D04IEK	
D04ILU	
D04LRA	
D05KRS	
D06FCP	
D06FTY	
D06QOD	
D07OIZ	
D09YJR	
D0A8IM	
D0C2CY	
D0C7LR	
D0F1EF	
D0J0ZG	
D0M7EP	
D0U8IF	
D0XI2Z	
